log,iac_category,fault_category
"TASK [Bootstrap etcd] ******************************************************
ok: [kube-node-prod-02]
TASK [Apply Kubernetes manifests] ******************************************************
fatal: [kube-node-prod-02]: FAILED! => {""changed"": false, ""msg"": ""IPv6 address 'ssl_cert_cn' used where IPv4 is required by module parameter 'bind_addr'"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""fluentd"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Register node in inventory] ******************************************************
changed: [web-node-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [app-k3s-worker-05] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [kube-node-prod-01]",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [db-srv-replica-02]",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [monitor-prometheus-01]",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [gitlab-runner-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [db-srv-replica-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [monitor-alertmanager-01]",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [api-gateway-node-03]",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [app-k3s-worker-04]",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [storage-ceph-osd-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Write database DSN to environment] ******************************************************
changed: [vault-server-02]

TASK [Restart application] ******************************************************
ok: [vault-server-02]
TASK [Check disk free space] ******************************************************
fatal: [vault-server-02]: FAILED! => {""changed"": false, ""msg"": ""Destination file roles/app/templates/app.conf.j2 does not exist and create=false; no changes made"", ""rc"": 2, ""invocation"": {""module_args"": {""name"": ""memcached"", ""state"": ""started""}}}",Configuration Data,State Mismanagement
"TASK [Validate network interface] ******************************************************
ok: [vault-server-01]",SUCCESS,NONE
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [monitor-alertmanager-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [kube-node-staging-01]",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [web-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [monitor-prometheus-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Check task argument types] ******************************************************
ok: [api-gateway-node-03]
ERROR! The field 'retries' is expected to be an integer but got string: 'image_tag'",Syntax,Typos
"TASK [Deploy SSL certificate] ******************************************************
changed: [web-node-02]",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [lb-external-ingress] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [lb-haproxy] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Deploy systemd socket unit] ******************************************************
ok: [ci-runner-build-01]

TASK [Activate socket] ******************************************************
ok: [ci-runner-build-01]
failed: [ci-runner-build-01] (item=vault) => {""changed"": false, ""msg"": ""Command returned non-zero: rc=126; stderr: activation request refused"", ""ansible_loop_var"": ""item"", ""item"": ""grafana""}",Service,Incorrect Detection/Analysis of User Input
"TASK [Ensure base packages are present] ******************************************************
ok: [app-k3s-worker-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [monitor-alertmanager-01]",SUCCESS,NONE
"TASK [Set cluster advertise address] ******************************************************
changed: [web-frontend-us-01]

TASK [Bootstrap etcd] ******************************************************
ok: [web-frontend-us-01]
TASK [Deploy SSL certificate] ******************************************************
fatal: [web-frontend-us-01]: FAILED! => {""changed"": false, ""msg"": ""IPv6 address 'oauth_client_id' used where IPv4 is required by module parameter 'bind_addr'"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""prometheus"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Deploy SSL certificate] ******************************************************
changed: [bastion-host-prod]",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [app-k3s-worker-03]",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [storage-block-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [db-postgres-primary] => {""changed"": false}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [app-k3s-worker-04] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [monitor-loki-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [ci-runner-deploy-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [db-mysql-replica-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Register node in inventory] ******************************************************
changed: [api-gateway-node-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [db-srv-replica-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [monitor-prometheus-01]",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [web-node-04]",SUCCESS,NONE
"TASK [Reload service] ******************************************************
changed: [monitor-prometheus-01]
TASK [Pull container image] ******************************************************
fatal: [monitor-prometheus-01]: FAILED! => {""changed"": false, ""msg"": ""Template rendering failed: recursive variable reference detected at 'tls_cert_path'"", ""rc"": 2, ""invocation"": {""module_args"": {""name"": ""k3s"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Check coverage] ******************************************************
changed: [web-frontend-eu-01]
ERROR! Task at line 202 in roles/storage/tasks/mounts.yml has no tags assigned; tagging policy requires at least one",Documentation,Incorrect Detection/Analysis of User Input
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [ingress-nginx-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [web-node-02]",SUCCESS,NONE
"TASK [Ensure base packages are present] ******************************************************
ok: [lb-external-ingress] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [app-k3s-worker-04] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [app-k3s-worker-01]",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [db-mysql-replica-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [db-mysql-replica-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [ci-runner-deploy-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [gitlab-runner-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Pull container image] ******************************************************
changed: [monitor-loki-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [web-node-03]",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [kube-node-prod-02]",SUCCESS,NONE
"TASK [Override defaults] ******************************************************
ok: [db-srv-main-01]
ERROR! vars file 'group_vars/all.yml' is not a valid YAML dictionary; expected mapping at top level",Configuration Data,Typos
"TASK [Read environment-specific vars] ******************************************************
changed: [api-gateway-node-03]

TASK [Override defaults] ******************************************************
changed: [api-gateway-node-03]
ERROR! vars file 'playbooks/deploy-app.yml' is not a valid YAML dictionary; expected mapping at top level",Configuration Data,Typos
"TASK [Verify target directory exists] ******************************************************
ok: [ci-runner-deploy-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [web-node-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [app-k3s-worker-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [vault-server-02]",SUCCESS,NONE
"TASK [Enforce task tagging policy] ******************************************************
changed: [api-gateway-node-03]

TASK [Check coverage] ******************************************************
changed: [api-gateway-node-03]
ERROR! Task at line 184 in roles/db/tasks/secure.yml has no tags assigned; tagging policy requires at least one",Documentation,Incorrect Detection/Analysis of User Input
"TASK [Create tmpfs mount] ******************************************************
changed: [storage-nfs-srv]",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [kube-node-staging-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [web-node-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [lb-internal-mesh] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [ingress-nginx-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Clone application repository] ******************************************************
ok: [api-gateway-node-02]

TASK [Checkout release branch] ******************************************************
changed: [api-gateway-node-02]
TASK [Update apt package cache] ******************************************************
fatal: [api-gateway-node-02]: FAILED! => {""changed"": false, ""msg"": ""Failed to resolve remote ref 'replica_count' \u2014 branch or tag may not exist"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""mongodb"", ""state"": ""started""}}}",Dependency,Variable Misreference
"TASK [Register node in inventory] ******************************************************
changed: [ingress-traefik-prod] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [web-frontend-eu-01]",SUCCESS,NONE
"TASK [Validate group membership] ******************************************************
changed: [db-srv-replica-01]
ERROR! No hosts matched pattern 'oauth_client_id' in inventory — check group name spelling

The error appears to be in 'roles/security/tasks/users.yml': line 149, column 1",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Install required Python packages] ******************************************************
changed: [monitor-loki-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [db-postgres-primary] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create application directory] ******************************************************
changed: [memcache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Parse playbook structure] ******************************************************
changed: [web-node-01]
ERROR! Syntax error in group_vars/all.yml at line 95, col 3: mapping values are not allowed here

The error appears to be in 'group_vars/webservers.yml': line 21, column 1",Syntax,Typos
"TASK [Push to API] ******************************************************
ok: [monitor-prometheus-01]
failed: [monitor-prometheus-01] (item=postgresql) => {""changed"": false, ""msg"": ""JSON body parse error: unexpected token at position 14 in field 'admin_token'"", ""ansible_loop_var"": ""item"", ""item"": ""jaeger""}",Configuration Data,Typos
"TASK [Write environment variables] ******************************************************
changed: [monitor-alertmanager-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [db-srv-replica-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [storage-ceph-osd-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [ingress-traefik-prod] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [web-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [api-gateway-node-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [app-k3s-worker-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Populate inventory from CMDB] ******************************************************
changed: [ci-runner-deploy-01]

TASK [Validate group membership] ******************************************************
ok: [ci-runner-deploy-01]
ERROR! No hosts matched pattern 'registry_url' in inventory — check group name spelling",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Configure firewall rules] ******************************************************
changed: [monitor-grafana-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create system user account] ******************************************************
ok: [api-gateway-node-03]

TASK [Set sudo policy] ******************************************************
changed: [api-gateway-node-03]
TASK [Pull container image] ******************************************************
fatal: [api-gateway-node-03]: FAILED! => {""changed"": false, ""msg"": ""Privilege escalation check failed for account 'fluentd': sudoers entry absent"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""envoy"", ""state"": ""started""}}}",Security,Incorrect Detection/Analysis of User Input
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [db-srv-replica-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [app-k3s-worker-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Install required Python packages] ******************************************************
changed: [monitor-alertmanager-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [app-k3s-worker-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Pull container image] ******************************************************
changed: [vault-server-02]",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [redis-cache-01]",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [gitlab-runner-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Install required Python packages] ******************************************************
changed: [storage-nfs-srv] => {""changed"": false}",SUCCESS,NONE
"TASK [Ensure base packages are present] ******************************************************
ok: [web-node-04]",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [storage-nfs-srv]",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [app-k3s-worker-05]",SUCCESS,NONE
"TASK [Override defaults] ******************************************************
ok: [bastion-host-prod]
ERROR! vars file 'group_vars/all.yml' is not a valid YAML dictionary; expected mapping at top level

The error appears to be in 'roles/storage/tasks/mounts.yml': line 11, column 10",Configuration Data,Typos
"TASK [Check disk free space] ******************************************************
ok: [db-postgres-primary] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [redis-cache-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create log rotation entry] ******************************************************
changed: [storage-block-01]

TASK [Write cron job] ******************************************************
changed: [storage-block-01]
failed: [storage-block-01] (item=fluentd) => {""changed"": false, ""msg"": ""Duplicate entry detected in crontab for user fluentd; idempotency guard triggered"", ""ansible_loop_var"": ""item"", ""item"": ""istio-proxy""}",Idempotency,State Mismanagement
"TASK [Rotate log files] ******************************************************
changed: [kube-node-staging-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [web-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [kube-node-prod-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [vault-server-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [monitor-grafana-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [vault-server-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [db-srv-main-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [ingress-nginx-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [storage-nas] => {""changed"": false}",SUCCESS,NONE
"TASK [Restart application] ******************************************************
changed: [ingress-traefik-prod]
TASK [Configure firewall rules] ******************************************************
fatal: [ingress-traefik-prod]: FAILED! => {""changed"": false, ""msg"": ""Destination file roles/common/vars/main.yml does not exist and create=false; no changes made"", ""rc"": 2, ""invocation"": {""module_args"": {""name"": ""alertmanager"", ""state"": ""started""}}}",Configuration Data,State Mismanagement
"TASK [Install required Python packages] ******************************************************
changed: [monitor-prometheus-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [app-k3s-worker-01]",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [storage-ceph-osd-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Write database DSN to environment] ******************************************************
changed: [web-node-04]

TASK [Restart application] ******************************************************
changed: [web-node-04]
TASK [Load role-specific variables] ******************************************************
fatal: [web-node-04]: FAILED! => {""changed"": false, ""msg"": ""Destination file roles/app/tasks/runtime.yml does not exist and create=false; no changes made"", ""rc"": 2, ""invocation"": {""module_args"": {""name"": ""kafka"", ""state"": ""started""}}}",Configuration Data,State Mismanagement
"TASK [Create application directory] ******************************************************
changed: [monitor-grafana-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Enforce task tagging policy] ******************************************************
changed: [api-gateway-node-03]

TASK [Check coverage] ******************************************************
changed: [api-gateway-node-03]
ERROR! Task at line 184 in roles/db/tasks/secure.yml has no tags assigned; tagging policy requires at least one",Documentation,Incorrect Detection/Analysis of User Input
"TASK [Load role-specific variables] ******************************************************
ok: [ingress-traefik-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [ingress-traefik-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Push to API] ******************************************************
changed: [app-k3s-worker-02]
failed: [app-k3s-worker-02] (item=node-exporter) => {""changed"": false, ""msg"": ""JSON body parse error: unexpected token at position 4 in field 'max_heap_size'"", ""ansible_loop_var"": ""item"", ""item"": ""alertmanager""}",Configuration Data,Typos
"TASK [Ping target hosts] ******************************************************
ok: [db-postgres-primary]",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [db-srv-replica-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [web-node-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate upstream health] ******************************************************
changed: [kube-node-prod-01]
failed: [kube-node-prod-01] (item=kafka) => {""changed"": false, ""msg"": ""Upstream kube-node-prod-01:2379 returned HTTP 127; backend removed from rotation"", ""ansible_loop_var"": ""item"", ""item"": ""elasticsearch""}",Service,State Mismanagement
"TASK [Register node in inventory] ******************************************************
changed: [web-frontend-eu-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [ci-runner-build-01]",SUCCESS,NONE
"TASK [Validate group membership] ******************************************************
ok: [vault-server-02]
ERROR! No hosts matched pattern 'tls_cert_path' in inventory — check group name spelling

The error appears to be in 'group_vars/webservers.yml': line 227, column 16",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Verify cluster quorum] ******************************************************
ok: [web-frontend-eu-01]",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [monitor-loki-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [app-k3s-worker-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Evaluate module argument spec] ******************************************************
changed: [app-k3s-worker-03]
ERROR! Unsupported parameter for module 'ansible.builtin.assert': 'smtp_password'. Supported params: name, state, enabled",Syntax,Typos
"TASK [Configure firewall rules] ******************************************************
changed: [app-k3s-worker-03]",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [storage-nfs-srv] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [lb-external-ingress]",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [gitlab-runner-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [monitor-loki-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Write prometheus scrape config] ******************************************************
ok: [web-node-03]

TASK [Reload alertmanager] ******************************************************
ok: [web-node-03]
ERROR! YAML anchor '&ingress_class' referenced before definition in template group_vars/k8s_workers.yml

The error appears to be in 'roles/common/tasks/main.yml': line 101, column 9",Configuration Data,Variable Misreference
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [lb-haproxy] => {""changed"": false}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [lb-internal-mesh] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
